SID,DeviceID,ObservationTimestp,LocalTimestp,AirTemperature,BarometricPressure,RelativeHumidity
2024-09-26T08:57:18Z_18zua9muwbb,18zua9muwbb,9/26/2024 8:57:18 ,26/09/2024 4:57,24.47,1007.87,53.43
2024-09-26T09:12:56Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:12:56 ,26/09/2024 5:12,23.86,1007.92,56.76
2024-09-26T09:28:18Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:28:18 ,26/09/2024 5:28,23.2,1008.29,60.2
2024-09-26T09:43:40Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:43:40 ,26/09/2024 5:43,21.98,1008.22,68.27
2024-09-26T09:59:02Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:59:02 ,26/09/2024 5:59,21.23,1008.5,70.48
2024-09-26T10:14:35Z_18zua9muwbb,18zua9muwbb,9/26/2024 10:14:35 ,26/09/2024 6:14,20.56,1008.68,73.91
2024-09-26T10:29:58Z_18zua9muwbb,18zua9muwbb,9/26/2024 10:29:58 ,26/09/2024 6:29,20.18,1008.89,73.79
2024-09-26T10:45:19Z_18zua9muwbb,18zua9muwbb,9/26/2024 10:45:19 ,26/09/2024 6:45,19.7,1009.08,69.37
2024-09-26T11:00:51Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:00:51 ,26/09/2024 7:00,19.35,1009.15,67.93
2024-09-26T11:16:13Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:16:13 ,26/09/2024 7:16,19.25,1009.19,68.31
2024-09-26T11:31:35Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:31:35 ,26/09/2024 7:31,19.05,1009.35,67.64
2024-09-26T11:46:58Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:46:58 ,26/09/2024 7:46,19.01,1009.54,67.91
2024-09-26T12:02:29Z_18zua9muwbb,18zua9muwbb,9/26/2024 12:02:29 ,26/09/2024 8:02,18.93,1009.77,69.15
2024-09-26T12:17:51Z_18zua9muwbb,18zua9muwbb,9/26/2024 12:17:51 ,26/09/2024 8:17,18.87,1009.81,68.99
2024-09-26T12:33:13Z_18zua9muwbb,18zua9muwbb,9/26/2024 12:33:13 ,26/09/2024 8:33,18.79,1009.79,69.52
2024-09-26T12:48:37Z_18zua9muwbb,18zua9muwbb,9/26/2024 12:48:37 ,26/09/2024 8:48,18.77,1009.83,69.7
2024-09-26T13:03:59Z_18zua9muwbb,18zua9muwbb,9/26/2024 1:03:59 ,26/09/2024 9:03,18.76,1009.83,70.37
2024-09-26T13:19:21Z_18zua9muwbb,18zua9muwbb,9/26/2024 1:19:21 ,26/09/2024 9:19,18.67,1009.82,69.97
2024-09-26T13:34:43Z_18zua9muwbb,18zua9muwbb,9/26/2024 1:34:43 ,26/09/2024 9:34,18.63,1009.58,69.97
2024-09-26T13:50:06Z_18zua9muwbb,18zua9muwbb,9/26/2024 1:50:06 ,26/09/2024 9:50,18.59,1009.65,70.75
2024-09-26T14:05:38Z_18zua9muwbb,18zua9muwbb,9/26/2024 2:05:38 ,26/09/2024 10:05,18.64,1009.49,71.99
2024-09-26T14:21:00Z_18zua9muwbb,18zua9muwbb,9/26/2024 2:21:00 ,26/09/2024 10:21,18.63,1009.43,72.61
2024-09-26T14:36:23Z_18zua9muwbb,18zua9muwbb,9/26/2024 2:36:23 ,26/09/2024 10:36,18.54,1009.52,71.31
2024-09-26T14:51:54Z_18zua9muwbb,18zua9muwbb,9/26/2024 2:51:54 ,26/09/2024 10:51,18.38,1009.38,68.14
2024-09-26T15:07:16Z_18zua9muwbb,18zua9muwbb,9/26/2024 3:07:16 ,26/09/2024 11:07,18.22,1009.46,67.16
2024-09-26T15:22:39Z_18zua9muwbb,18zua9muwbb,9/26/2024 3:22:39 ,26/09/2024 11:22,18.13,1009.47,65.18
2024-09-26T15:38:00Z_18zua9muwbb,18zua9muwbb,9/26/2024 3:38:00 ,26/09/2024 11:38,18.01,1009.35,64.67
2024-09-26T16:09:02Z_18zua9muwbb,18zua9muwbb,9/26/2024 4:09:02 ,27/09/2024 12:09,17.95,1009.1,65.49
2024-09-26T16:24:24Z_18zua9muwbb,18zua9muwbb,9/26/2024 4:24:24 ,27/09/2024 12:24,18,1008.99,67.35
2024-09-26T16:39:47Z_18zua9muwbb,18zua9muwbb,9/26/2024 4:39:47 ,27/09/2024 12:39,17.97,1009.07,71.89
2024-09-26T16:55:12Z_18zua9muwbb,18zua9muwbb,9/26/2024 4:55:12 ,27/09/2024 12:55,17.53,1009.11,77.12
2024-09-26T17:10:34Z_18zua9muwbb,18zua9muwbb,9/26/2024 5:10:34 ,27/09/2024 1:10,17.23,1008.69,79.98
2024-09-26T17:26:11Z_18zua9muwbb,18zua9muwbb,9/26/2024 5:26:11 ,27/09/2024 1:26,17.34,1008.61,81.02
2024-09-26T17:41:33Z_18zua9muwbb,18zua9muwbb,9/26/2024 5:41:33 ,27/09/2024 1:41,17.39,1008.59,80.15
2024-09-26T17:56:56Z_18zua9muwbb,18zua9muwbb,9/26/2024 5:56:56 ,27/09/2024 1:56,17.5,1008.42,80.57
2024-09-26T18:12:19Z_18zua9muwbb,18zua9muwbb,9/26/2024 6:12:19 ,27/09/2024 2:12,17.55,1008.24,80.01
2024-09-26T18:27:40Z_18zua9muwbb,18zua9muwbb,9/26/2024 6:27:40 ,27/09/2024 2:27,17.54,1007.98,80.3
2024-09-26T18:43:02Z_18zua9muwbb,18zua9muwbb,9/26/2024 6:43:02 ,27/09/2024 2:43,17.53,1007.87,81.46
2024-09-26T18:58:24Z_18zua9muwbb,18zua9muwbb,9/26/2024 6:58:24 ,27/09/2024 2:58,17.43,1007.61,81.33
2024-09-26T19:13:46Z_18zua9muwbb,18zua9muwbb,9/26/2024 7:13:46 ,27/09/2024 3:13,17.29,1007.59,81.87
2024-09-26T19:44:48Z_18zua9muwbb,18zua9muwbb,9/26/2024 7:44:48 ,27/09/2024 3:44,17.1,1007.47,88.01
2024-09-26T20:00:11Z_18zua9muwbb,18zua9muwbb,9/26/2024 8:00:11 ,27/09/2024 4:00,17,1007.42,91.12
2024-09-26T20:15:33Z_18zua9muwbb,18zua9muwbb,9/26/2024 8:15:33 ,27/09/2024 4:15,16.79,1007.45,91.49
2024-09-26T20:31:17Z_18zua9muwbb,18zua9muwbb,9/26/2024 8:31:17 ,27/09/2024 4:31,16.57,1007.49,91.1
2024-09-26T20:46:40Z_18zua9muwbb,18zua9muwbb,9/26/2024 8:46:40 ,27/09/2024 4:46,16.4,1007.92,98.11
2024-09-26T21:02:01Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:02:01 ,27/09/2024 5:02,16.45,1007.86,100
2024-09-26T21:17:24Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:17:24 ,27/09/2024 5:17,16.12,1007.73,100
2024-09-26T21:32:46Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:32:46 ,27/09/2024 5:32,15.73,1007.76,100
2024-09-26T21:48:18Z_18zua9muwbb,18zua9muwbb,9/26/2024 9:48:18 ,27/09/2024 5:48,15.43,1008.06,100
2024-09-26T22:03:40Z_18zua9muwbb,18zua9muwbb,9/26/2024 10:03:40 ,27/09/2024 6:03,15.23,1008.08,100
2024-09-26T22:19:03Z_18zua9muwbb,18zua9muwbb,9/26/2024 10:19:03 ,27/09/2024 6:19,15.14,1008.18,100
2024-09-26T22:34:25Z_18zua9muwbb,18zua9muwbb,9/26/2024 10:34:25 ,27/09/2024 6:34,14.85,1008.19,100
2024-09-26T22:50:03Z_18zua9muwbb,18zua9muwbb,9/26/2024 10:50:03 ,27/09/2024 6:50,14.97,1008.46,100
2024-09-26T23:05:35Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:05:35 ,27/09/2024 7:05,14.92,1008.8,100
2024-09-26T23:20:58Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:20:58 ,27/09/2024 7:20,14.78,1008.88,100
2024-09-26T23:36:40Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:36:40 ,27/09/2024 7:36,14.85,1008.98,100
2024-09-26T23:52:02Z_18zua9muwbb,18zua9muwbb,9/26/2024 11:52:02 ,27/09/2024 7:52,14.72,1009.29,100
2024-09-27T00:07:35Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:07:35 ,27/09/2024 8:07,14.27,1009.77,100
2024-09-27T00:22:58Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:22:58 ,27/09/2024 8:22,13.98,1009.83,100
2024-09-27T00:38:20Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:38:20 ,27/09/2024 8:38,13.64,1010.03,100
2024-09-27T00:53:42Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:53:42 ,27/09/2024 8:53,13.6,1010.37,100
2024-09-27T01:09:13Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:09:13 ,27/09/2024 9:09,13.65,1010.63,100
2024-09-27T01:24:36Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:24:36 ,27/09/2024 9:24,13.53,1010.93,100
2024-09-27T01:40:01Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:40:01 ,27/09/2024 9:40,13.68,1010.66,100
2024-09-27T01:55:22Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:55:22 ,27/09/2024 9:55,13.82,1010.68,100
2024-09-27T02:10:45Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:10:45 ,27/09/2024 10:10,14,1010.68,100
2024-09-27T02:26:21Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:26:21 ,27/09/2024 10:26,14.02,1010.78,100
2024-09-27T02:29:10Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:29:10 ,27/09/2024 10:29,14.09,1010.78,100
2024-09-27T02:44:33Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:44:33 ,27/09/2024 10:44,13.9,1010.96,100
2024-09-27T02:59:56Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:59:56 ,27/09/2024 10:59,13.96,1010.6,100
2024-09-27T03:15:19Z_18zua9muwbb,18zua9muwbb,9/27/2024 3:15:19 ,27/09/2024 11:15,14.13,1010.41,100
2024-09-27T03:30:40Z_18zua9muwbb,18zua9muwbb,9/27/2024 3:30:40 ,27/09/2024 11:30,14.35,1010.22,100
2024-09-27T03:46:31Z_18zua9muwbb,18zua9muwbb,9/27/2024 3:46:31 ,27/09/2024 11:46,14.64,1010.24,100
2024-09-27T04:02:09Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:02:09 ,27/09/2024 12:02,14.73,1010.15,100
2024-09-27T04:17:31Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:17:31 ,27/09/2024 12:17,14.9,1010.02,100
2024-09-27T04:33:04Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:33:04 ,27/09/2024 12:33,15.22,1009.98,100
2024-09-27T04:48:52Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:48:52 ,27/09/2024 12:48,15.36,1009.99,100
2024-09-27T05:04:29Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:04:29 ,27/09/2024 1:04,15.14,1010.01,100
2024-09-27T05:19:52Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:19:52 ,27/09/2024 1:19,15.56,1009.96,93.58
2024-09-27T05:35:16Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:35:16 ,27/09/2024 1:35,16.04,1009.75,87.03
2024-09-27T05:50:38Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:50:38 ,27/09/2024 1:50,16.64,1009.92,68.62
2024-09-27T06:06:00Z_18zua9muwbb,18zua9muwbb,9/27/2024 6:06:00 ,27/09/2024 2:06,16.59,1009.96,71.4
2024-09-27T06:21:22Z_18zua9muwbb,18zua9muwbb,9/27/2024 6:21:22 ,27/09/2024 2:21,16.84,1010,68.49
2024-09-27T06:36:53Z_18zua9muwbb,18zua9muwbb,9/27/2024 6:36:53 ,27/09/2024 2:36,16.64,1010.1,73.19
2024-09-27T06:52:19Z_18zua9muwbb,18zua9muwbb,9/27/2024 6:52:19 ,27/09/2024 2:52,16.29,1010.27,70.92
2024-09-27T07:07:43Z_18zua9muwbb,18zua9muwbb,9/27/2024 7:07:43 ,27/09/2024 3:07,17.04,1010.3,61.53
2024-09-27T07:23:27Z_18zua9muwbb,18zua9muwbb,9/27/2024 7:23:27 ,27/09/2024 3:23,17.18,1010.43,61.43
2024-09-27T07:38:58Z_18zua9muwbb,18zua9muwbb,9/27/2024 7:38:58 ,27/09/2024 3:38,15.81,1011.01,87.06
2024-09-27T07:54:37Z_18zua9muwbb,18zua9muwbb,9/27/2024 7:54:37 ,27/09/2024 3:54,15.73,1011.17,95.37
2024-09-27T08:10:01Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:10:01 ,27/09/2024 4:10,17.02,1011.52,72.54
2024-09-27T08:25:25Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:25:25 ,27/09/2024 4:25,16.29,1011.57,69.11
2024-09-27T08:40:51Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:40:51 ,27/09/2024 4:40,15.96,1011.75,69.46
2024-09-27T08:56:25Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:56:25 ,27/09/2024 4:56,15.6,1011.93,70.87
2024-09-27T09:11:48Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:11:48 ,27/09/2024 5:11,15.21,1012.31,70.66
2024-09-27T09:27:13Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:27:13 ,27/09/2024 5:27,14.15,1012.76,76.7
2024-09-27T09:42:35Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:42:35 ,27/09/2024 5:42,14.01,1012.98,80.5
2024-09-27T09:58:06Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:58:06 ,27/09/2024 5:58,14.02,1012.88,90.66
2024-09-27T10:13:31Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:13:31 ,27/09/2024 6:13,14.06,1013.14,90.67
2024-09-27T10:28:53Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:28:53 ,27/09/2024 6:28,14.21,1013.33,93.25
2024-09-27T10:44:30Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:44:30 ,27/09/2024 6:44,14.14,1013.69,93.46
2024-09-27T10:59:53Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:59:53 ,27/09/2024 6:59,13.68,1013.9,96.98
2024-09-27T11:15:43Z_18zua9muwbb,18zua9muwbb,9/27/2024 11:15:43 ,27/09/2024 7:15,13.53,1014.26,100
2024-09-27T11:31:16Z_18zua9muwbb,18zua9muwbb,9/27/2024 11:31:16 ,27/09/2024 7:31,13.57,1014.57,100
2024-09-27T11:46:38Z_18zua9muwbb,18zua9muwbb,9/27/2024 11:46:38 ,27/09/2024 7:46,13.34,1014.99,100
2024-09-27T12:02:01Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:02:01 ,27/09/2024 8:02,13.15,1015.22,100
2024-09-27T12:17:24Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:17:24 ,27/09/2024 8:17,13,1015.48,100
2024-09-27T12:32:46Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:32:46 ,27/09/2024 8:32,12.94,1015.83,100
2024-09-27T12:48:17Z_18zua9muwbb,18zua9muwbb,9/27/2024 12:48:17 ,27/09/2024 8:48,12.86,1015.95,100
2024-09-27T13:03:40Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:03:40 ,27/09/2024 9:03,12.86,1016.08,100
2024-09-27T13:19:05Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:19:05 ,27/09/2024 9:19,12.53,1016.07,100
2024-09-27T13:34:28Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:34:28 ,27/09/2024 9:34,12.65,1016.24,100
2024-09-27T13:49:51Z_18zua9muwbb,18zua9muwbb,9/27/2024 1:49:51 ,27/09/2024 9:49,12.65,1016.66,100
2024-09-27T14:05:23Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:05:23 ,27/09/2024 10:05,12.14,1016.63,100
2024-09-27T14:20:45Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:20:45 ,27/09/2024 10:20,12,1016.72,99.2
2024-09-27T14:36:08Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:36:08 ,27/09/2024 10:36,11.97,1016.73,96.85
2024-09-27T14:51:52Z_18zua9muwbb,18zua9muwbb,9/27/2024 2:51:52 ,27/09/2024 10:51,11.88,1016.75,94.66
2024-09-27T15:07:24Z_18zua9muwbb,18zua9muwbb,9/27/2024 3:07:24 ,27/09/2024 11:07,11.98,1016.78,99.49
2024-09-27T15:22:47Z_18zua9muwbb,18zua9muwbb,9/27/2024 3:22:47 ,27/09/2024 11:22,11.85,1017.07,97.64
2024-09-27T15:38:19Z_18zua9muwbb,18zua9muwbb,9/27/2024 3:38:19 ,27/09/2024 11:38,11.5,1016.98,99.94
2024-09-27T15:53:41Z_18zua9muwbb,18zua9muwbb,9/27/2024 3:53:41 ,27/09/2024 11:53,11.56,1017.17,100
2024-09-27T16:09:03Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:09:03 ,28/09/2024 12:09,11.55,1017,100
2024-09-27T16:24:34Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:24:34 ,28/09/2024 12:24,11.43,1016.96,99.19
2024-09-27T16:40:06Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:40:06 ,28/09/2024 12:40,11.51,1017.03,100
2024-09-27T16:55:28Z_18zua9muwbb,18zua9muwbb,9/27/2024 4:55:28 ,28/09/2024 12:55,11.27,1017,100
2024-09-27T17:10:51Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:10:51 ,28/09/2024 1:10,11.3,1017.09,100
2024-09-27T17:26:24Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:26:24 ,28/09/2024 1:26,11.3,1017.06,100
2024-09-27T17:41:46Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:41:46 ,28/09/2024 1:41,11.07,1017.13,100
2024-09-27T17:57:09Z_18zua9muwbb,18zua9muwbb,9/27/2024 5:57:09 ,28/09/2024 1:57,10.96,1017.35,100
2024-09-27T18:12:41Z_18zua9muwbb,18zua9muwbb,9/27/2024 6:12:41 ,28/09/2024 2:12,10.78,1017.23,100
2024-09-27T18:28:09Z_18zua9muwbb,18zua9muwbb,9/27/2024 6:28:09 ,28/09/2024 2:28,10.67,1017.29,100
2024-09-27T18:59:12Z_18zua9muwbb,18zua9muwbb,9/27/2024 6:59:12 ,28/09/2024 2:59,10.71,1017.4,100
2024-09-27T19:14:40Z_18zua9muwbb,18zua9muwbb,9/27/2024 7:14:40 ,28/09/2024 3:14,10.76,1017.55,100
2024-09-27T19:30:02Z_18zua9muwbb,18zua9muwbb,9/27/2024 7:30:02 ,28/09/2024 3:30,10.63,1017.57,100
2024-09-27T19:45:24Z_18zua9muwbb,18zua9muwbb,9/27/2024 7:45:24 ,28/09/2024 3:45,10.5,1017.8,100
2024-09-27T20:00:51Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:00:51 ,28/09/2024 4:00,10.46,1018.02,100
2024-09-27T20:16:14Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:16:14 ,28/09/2024 4:16,10.56,1018,100
2024-09-27T20:31:47Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:31:47 ,28/09/2024 4:31,10.6,1018.27,100
2024-09-27T20:47:20Z_18zua9muwbb,18zua9muwbb,9/27/2024 8:47:20 ,28/09/2024 4:47,10.5,1018.39,100
2024-09-27T21:02:44Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:02:44 ,28/09/2024 5:02,10.31,1018.6,100
2024-09-27T21:18:17Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:18:17 ,28/09/2024 5:18,10.31,1018.77,100
2024-09-27T21:33:39Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:33:39 ,28/09/2024 5:33,10.18,1018.97,100
2024-09-27T21:49:17Z_18zua9muwbb,18zua9muwbb,9/27/2024 9:49:17 ,28/09/2024 5:49,9.93,1019.32,100
2024-09-27T22:04:43Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:04:43 ,28/09/2024 6:04,9.81,1019.77,100
2024-09-27T22:20:06Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:20:06 ,28/09/2024 6:20,9.88,1019.8,100
2024-09-27T22:35:42Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:35:42 ,28/09/2024 6:35,9.93,1020.17,100
2024-09-27T22:51:08Z_18zua9muwbb,18zua9muwbb,9/27/2024 10:51:08 ,28/09/2024 6:51,10.06,1020.59,100
2024-09-27T23:06:30Z_18zua9muwbb,18zua9muwbb,9/27/2024 11:06:30 ,28/09/2024 7:06,10.17,1020.68,100
2024-09-27T23:21:52Z_18zua9muwbb,18zua9muwbb,9/27/2024 11:21:52 ,28/09/2024 7:21,10.56,1020.85,100
2024-09-27T23:37:14Z_18zua9muwbb,18zua9muwbb,9/27/2024 11:37:14 ,28/09/2024 7:37,11.06,1021.07,100
2024-09-27T23:52:45Z_18zua9muwbb,18zua9muwbb,9/27/2024 11:52:45 ,28/09/2024 7:52,11.43,1021.47,100
2024-09-28T00:08:08Z_18zua9muwbb,18zua9muwbb,9/28/2024 12:08:08 ,28/09/2024 8:08,11.77,1021.67,100
2024-09-28T00:23:33Z_18zua9muwbb,18zua9muwbb,9/28/2024 12:23:33 ,28/09/2024 8:23,11.92,1021.97,100
2024-09-28T00:39:09Z_18zua9muwbb,18zua9muwbb,9/28/2024 12:39:09 ,28/09/2024 8:39,12.09,1022.15,100
2024-09-28T00:54:31Z_18zua9muwbb,18zua9muwbb,9/28/2024 12:54:31 ,28/09/2024 8:54,12.21,1022,100
2024-09-28T01:10:19Z_18zua9muwbb,18zua9muwbb,9/28/2024 1:10:19 ,28/09/2024 9:10,12.34,1022.12,100
2024-09-28T01:25:45Z_18zua9muwbb,18zua9muwbb,9/28/2024 1:25:45 ,28/09/2024 9:25,12.31,1022.27,100
2024-09-28T01:41:17Z_18zua9muwbb,18zua9muwbb,9/28/2024 1:41:17 ,28/09/2024 9:41,12.72,1022.54,100
2024-09-28T01:56:49Z_18zua9muwbb,18zua9muwbb,9/28/2024 1:56:49 ,28/09/2024 9:56,13.15,1022.7,100
2024-09-28T02:12:28Z_18zua9muwbb,18zua9muwbb,9/28/2024 2:12:28 ,28/09/2024 10:12,13.42,1022.52,100
2024-09-28T02:27:52Z_18zua9muwbb,18zua9muwbb,9/28/2024 2:27:52 ,28/09/2024 10:27,13.73,1022.51,100
2024-09-28T02:29:18Z_18zua9muwbb,18zua9muwbb,9/28/2024 2:29:18 ,28/09/2024 10:29,13.77,1022.52,100
2024-09-28T02:44:42Z_18zua9muwbb,18zua9muwbb,9/28/2024 2:44:42 ,28/09/2024 10:44,14.18,1022.51,97.42
2024-09-28T03:00:34Z_18zua9muwbb,18zua9muwbb,9/28/2024 3:00:34 ,28/09/2024 11:00,14.67,1022.6,96.62
2024-09-28T03:16:19Z_18zua9muwbb,18zua9muwbb,9/28/2024 3:16:19 ,28/09/2024 11:16,14.75,1022.66,92.73
2024-09-28T03:31:41Z_18zua9muwbb,18zua9muwbb,9/28/2024 3:31:41 ,28/09/2024 11:31,14.85,1022.43,83.48
2024-09-28T03:47:13Z_18zua9muwbb,18zua9muwbb,9/28/2024 3:47:13 ,28/09/2024 11:47,15.48,1022.35,74.36
2024-09-28T04:02:45Z_18zua9muwbb,18zua9muwbb,9/28/2024 4:02:45 ,28/09/2024 12:02,15.88,1022.29,68.8
2024-09-28T04:18:07Z_18zua9muwbb,18zua9muwbb,9/28/2024 4:18:07 ,28/09/2024 12:18,15.97,1022.34,70.4
2024-09-28T04:33:29Z_18zua9muwbb,18zua9muwbb,9/28/2024 4:33:29 ,28/09/2024 12:33,16.77,1022.34,66.41
2024-09-28T04:49:00Z_18zua9muwbb,18zua9muwbb,9/28/2024 4:49:00 ,28/09/2024 12:49,16.95,1022.48,60.75
2024-09-28T05:04:23Z_18zua9muwbb,18zua9muwbb,9/28/2024 5:04:23 ,28/09/2024 1:04,17.5,1022.47,56.1
2024-09-28T05:19:45Z_18zua9muwbb,18zua9muwbb,9/28/2024 5:19:45 ,28/09/2024 1:19,17.7,1022.51,57.52
2024-09-28T05:35:07Z_18zua9muwbb,18zua9muwbb,9/28/2024 5:35:07 ,28/09/2024 1:35,17.59,1022.45,58.75
2024-09-28T05:51:00Z_18zua9muwbb,18zua9muwbb,9/28/2024 5:51:00 ,28/09/2024 1:51,17.29,1022.58,57.7
2024-09-28T06:06:49Z_18zua9muwbb,18zua9muwbb,9/28/2024 6:06:49 ,28/09/2024 2:06,17.71,1022.53,54.51
2024-09-28T06:22:21Z_18zua9muwbb,18zua9muwbb,9/28/2024 6:22:21 ,28/09/2024 2:22,18.19,1022.38,54.42
2024-09-28T06:37:43Z_18zua9muwbb,18zua9muwbb,9/28/2024 6:37:43 ,28/09/2024 2:37,18.52,1022.5,55.06
2024-09-28T06:53:08Z_18zua9muwbb,18zua9muwbb,9/28/2024 6:53:08 ,28/09/2024 2:53,17.79,1022.49,56.17
2024-09-28T07:08:30Z_18zua9muwbb,18zua9muwbb,9/28/2024 7:08:30 ,28/09/2024 3:08,17.3,1022.67,60.19
2024-09-28T07:23:52Z_18zua9muwbb,18zua9muwbb,9/28/2024 7:23:52 ,28/09/2024 3:23,17.04,1022.75,58.08
2024-09-28T07:39:14Z_18zua9muwbb,18zua9muwbb,9/28/2024 7:39:14 ,28/09/2024 3:39,16.79,1022.7,54.23
2024-09-28T07:54:41Z_18zua9muwbb,18zua9muwbb,9/28/2024 7:54:41 ,28/09/2024 3:54,16.87,1022.66,61.04
2024-09-28T08:10:03Z_18zua9muwbb,18zua9muwbb,9/28/2024 8:10:03 ,28/09/2024 4:10,18.02,1022.72,54.86
2024-09-28T08:25:25Z_18zua9muwbb,18zua9muwbb,9/28/2024 8:25:25 ,28/09/2024 4:25,19.2,1022.96,51.74
2024-09-28T08:40:48Z_18zua9muwbb,18zua9muwbb,9/28/2024 8:40:48 ,28/09/2024 4:40,18.34,1023.16,55.3
2024-09-28T08:56:20Z_18zua9muwbb,18zua9muwbb,9/28/2024 8:56:20 ,28/09/2024 4:56,17.86,1023.22,60.03
2024-09-28T09:11:42Z_18zua9muwbb,18zua9muwbb,9/28/2024 9:11:42 ,28/09/2024 5:11,17.5,1023.38,57.45
2024-09-28T09:27:04Z_18zua9muwbb,18zua9muwbb,9/28/2024 9:27:04 ,28/09/2024 5:27,17.11,1023.54,58.15
2024-09-28T09:42:26Z_18zua9muwbb,18zua9muwbb,9/28/2024 9:42:26 ,28/09/2024 5:42,16.37,1023.87,60.79
2024-09-28T09:57:48Z_18zua9muwbb,18zua9muwbb,9/28/2024 9:57:48 ,28/09/2024 5:57,15.9,1024.04,61.02
2024-09-28T10:13:10Z_18zua9muwbb,18zua9muwbb,9/28/2024 10:13:10 ,28/09/2024 6:13,15.68,1024.24,63.54
2024-09-28T10:28:42Z_18zua9muwbb,18zua9muwbb,9/28/2024 10:28:42 ,28/09/2024 6:28,15.32,1024.36,65.19
2024-09-28T10:44:05Z_18zua9muwbb,18zua9muwbb,9/28/2024 10:44:05 ,28/09/2024 6:44,15.14,1024.42,65.94
2024-09-28T10:59:37Z_18zua9muwbb,18zua9muwbb,9/28/2024 10:59:37 ,28/09/2024 6:59,15.03,1024.55,67.64
2024-09-28T11:15:00Z_18zua9muwbb,18zua9muwbb,9/28/2024 11:15:00 ,28/09/2024 7:15,15.07,1024.76,69.2
2024-09-28T11:30:22Z_18zua9muwbb,18zua9muwbb,9/28/2024 11:30:22 ,28/09/2024 7:30,15.01,1024.94,68.74
